oms.contact.PartyContactMech

partyId,contactMechId,contactMechPurposeId,fromDate
P094,CM688,TelecomPrimary,2023-06-09 19:37:59
P094,CM298,TelecomWork,2023-03-21 06:21:55
P095,CM419,PostalPrimary,2023-06-20 10:56:08
P096,CM684,PostalPrimary,2024-03-24 14:22:33
P096,CM930,PostalPrimary,2022-01-28 20:01:44
P096,CM973,TelecomWork,2021-02-23 22:25:29
P097,CM097,EmailPrimary,2023-12-27 19:45:17
P097,CM472,EmailSecondary,2021-02-25 15:59:26
P097,CM610,TelecomWork,2023-04-02 02:03:25
P098,CM098,EmailPrimary,2020-09-10 07:09:17
P098,CM511,TelecomWork,2024-03-11 15:07:56
P098,CM441,TelecomWork,2024-02-23 04:09:53
P099,CM099,EmailPrimary,2024-11-24 05:42:21
P099,CM701,PostalPrimary,2021-11-08 05:36:28
P099,CM540,TelecomPrimary,2022-10-26 12:48:16
P100,CM100,EmailPrimary,2023-03-14 12:02:15
P100,CM192,PostalBilling,2020-04-01 00:21:34
P101,CM101,EmailPrimary,2020-05-27 19:28:44
P101,CM490,EmailSecondary,2022-09-30 13:40:29
P101,CM464,TelecomWork,2020-01-11 05:51:01
P102,CM102,EmailPrimary,2020-11-17 00:51:23
P102,CM656,TelecomWork,2023-06-19 12:43:43
P103,CM103,EmailPrimary,2020-02-06 18:56:51
P103,CM533,TelecomWork,2020-04-16 10:08:47
P104,CM350,TelecomWork,2021-08-26 09:00:54
P104,CM457,TelecomWork,2024-09-06 01:04:44
P104,CM810,PostalBilling,2023-10-07 07:32:29
P105,CM666,PostalBilling,2022-07-20 07:42:08
P106,CM351,PostalBilling,2023-05-23 05:23:09
P107,CM107,EmailPrimary,2021-07-27 13:27:20
P107,CM754,TelecomPrimary,2021-08-16 11:56:50
P107,CM954,TelecomPrimary,2024-01-01 19:27:07
P107,CM451,PostalPrimary,2021-09-19 01:19:22
P108,CM108,EmailPrimary,2024-03-05 11:13:48
P108,CM747,PostalPrimary,2020-10-19 20:43:41
P109,CM109,EmailPrimary,2020-02-08 11:21:48
P109,CM117,PostalPrimary,2023-06-21 07:39:10
P110,CM110,EmailPrimary,2022-07-02 19:44:52
P110,CM426,EmailSecondary,2020-02-27 11:32:56
P110,CM752,EmailSecondary,2020-06-08 21:21:31
P110,CM309,EmailSecondary,2021-11-27 14:32:18
P111,CM111,EmailPrimary,2024-03-27 12:10:30
P111,CM624,EmailSecondary,2023-05-01 09:07:24
P111,CM675,PostalPrimary,2024-05-31 15:26:07
P111,CM601,PostalPrimary,2021-07-05 02:19:55
P112,CM112,EmailPrimary,2024-04-30 18:13:01
P112,CM350,PostalBilling,2024-06-15 19:06:07
P112,CM719,PostalPrimary,2021-09-14 02:24:33
P113,CM113,EmailPrimary,2022-05-08 17:58:53
P113,CM486,PostalBilling,2021-01-27 00:28:57
P113,CM443,EmailSecondary,2020-02-23 12:32:37
P114,CM114,EmailPrimary,2023-02-27 17:33:04
P114,CM475,PostalPrimary,2020-02-18 15:16:15
P115,CM115,EmailPrimary,2020-06-03 16:03:47
P115,CM574,PostalPrimary,2021-01-16 20:32:41
P116,CM646,EmailSecondary,2021-07-27 22:01:26
P117,CM353,PostalBilling,2020-11-07 15:34:18
P117,CM837,PostalPrimary,2021-10-18 11:45:08
P117,CM920,PostalPrimary,2021-07-12 19:01:24
P118,CM118,EmailPrimary,2021-12-10 18:07:35
P118,CM623,EmailSecondary,2023-11-04 18:01:11
P118,CM469,TelecomWork,2024-09-26 04:14:40
P118,CM863,TelecomPrimary,2020-12-06 09:14:06
P119,CM137,TelecomWork,2021-06-11 01:26:31
P120,CM120,EmailPrimary,2020-09-11 02:19:47
P120,CM228,EmailSecondary,2024-11-28 10:30:19
P120,CM313,EmailSecondary,2021-03-18 06:54:28
P120,CM253,EmailSecondary,2020-01-14 18:11:05
P121,CM121,EmailPrimary,2021-04-16 13:37:00
P121,CM959,TelecomPrimary,2021-12-17 16:52:17
P121,CM685,TelecomWork,2024-04-02 17:52:43
P121,CM356,PostalPrimary,2020-10-03 15:34:27
P122,CM122,EmailPrimary,2023-10-11 05:00:17
P122,CM779,EmailSecondary,2020-04-08 02:15:46
P122,CM252,PostalBilling,2022-12-03 11:31:18
P123,CM123,EmailPrimary,2024-04-21 13:13:16
P123,CM613,TelecomWork,2023-11-09 00:00:42
P123,CM933,TelecomPrimary,2023-12-01 14:02:00
P124,CM124,EmailPrimary,2020-07-29 06:54:13
P124,CM443,TelecomWork,2022-01-22 08:57:00
P124,CM440,PostalPrimary,2020-01-05 23:13:45
P125,CM586,TelecomPrimary,2023-10-09 15:35:47
P125,CM515,PostalPrimary,2023-11-05 08:50:07
P126,CM126,EmailPrimary,2020-10-26 22:11:19
P126,CM559,PostalPrimary,2023-11-18 20:47:10
P127,CM831,PostalPrimary,2022-10-04 10:42:57
P127,CM390,TelecomWork,2024-04-20 15:56:26
P128,CM128,EmailPrimary,2023-04-22 21:26:39
P128,CM817,PostalPrimary,2021-12-11 20:58:23
P128,CM387,PostalPrimary,2021-05-10 03:18:18
P128,CM596,PostalBilling,2022-03-06 22:59:43
P129,CM237,TelecomPrimary,2022-09-10 00:18:08
P129,CM685,EmailSecondary,2023-12-04 13:53:57
P129,CM471,PostalPrimary,2023-06-11 07:41:12
P130,CM130,EmailPrimary,2022-02-02 20:53:57
P130,CM597,TelecomWork,2020-12-21 16:35:03
P131,CM487,TelecomWork,2020-05-17 04:53:36
P131,CM798,EmailSecondary,2021-05-30 18:31:42
P132,CM106,TelecomPrimary,2020-05-11 04:29:25
P132,CM255,EmailSecondary,2021-09-08 10:41:32
P132,CM295,TelecomWork,2020-04-05 06:13:55
P133,CM133,EmailPrimary,2022-12-05 07:18:00
P133,CM649,TelecomPrimary,2022-02-07 18:39:41
P133,CM440,EmailSecondary,2022-08-09 00:01:48
P134,CM501,PostalBilling,2023-10-26 00:57:56
P134,CM934,TelecomWork,2024-04-22 05:53:19
P135,CM484,PostalBilling,2024-05-31 05:22:41
P135,CM945,TelecomPrimary,2024-03-06 19:39:58
P136,CM136,EmailPrimary,2022-11-03 02:16:29
P136,CM364,PostalBilling,2020-05-30 17:55:56
P136,CM463,TelecomWork,2020-01-05 15:17:05
P136,CM901,PostalPrimary,2024-02-15 11:15:03
P137,CM685,PostalBilling,2023-03-27 15:45:19
P137,CM294,TelecomPrimary,2024-11-22 20:03:51
P137,CM502,TelecomWork,2024-05-12 18:27:53
P138,CM138,EmailPrimary,2020-02-16 14:11:52
P138,CM319,TelecomWork,2022-02-18 07:01:10
P138,CM516,TelecomPrimary,2024-05-22 19:25:07
P138,CM951,PostalBilling,2022-06-30 08:25:01
P139,CM892,TelecomWork,2021-07-19 11:15:24
P139,CM908,PostalBilling,2022-10-09 14:11:02
P139,CM662,PostalBilling,2023-06-30 01:14:58
P140,CM140,EmailPrimary,2023-04-14 03:54:10
P140,CM371,TelecomPrimary,2024-08-25 11:11:30
P140,CM982,EmailSecondary,2022-05-28 06:18:56
P141,CM141,EmailPrimary,2024-05-06 17:26:01
P141,CM441,PostalPrimary,2020-09-21 21:13:13
P141,CM609,PostalPrimary,2023-07-28 03:46:14
P142,CM370,EmailSecondary,2021-08-26 03:23:32
P142,CM404,PostalBilling,2023-10-07 13:12:49
P142,CM381,EmailSecondary,2025-01-25 07:27:37
P143,CM143,EmailPrimary,2022-03-02 16:45:50
P143,CM634,PostalPrimary,2023-11-21 18:18:30
P143,CM668,PostalPrimary,2023-07-18 04:17:27
P143,CM308,TelecomPrimary,2025-01-22 08:54:01
P144,CM144,EmailPrimary,2024-08-10 14:28:58
P144,CM283,PostalBilling,2024-07-09 22:42:47
P144,CM249,TelecomWork,2024-08-15 07:05:28
P144,CM221,EmailSecondary,2022-07-16 21:12:51
P145,CM145,EmailPrimary,2021-08-23 03:21:50
P145,CM221,TelecomWork,2022-10-06 11:21:30
P145,CM449,TelecomWork,2022-09-15 15:01:30
P146,CM146,EmailPrimary,2024-08-08 05:16:40
P146,CM859,EmailSecondary,2021-04-23 15:56:10
P147,CM147,EmailPrimary,2024-03-29 19:58:36
P147,CM402,PostalPrimary,2021-02-20 17:15:01
P148,CM148,EmailPrimary,2020-10-16 16:51:42
P148,CM745,EmailSecondary,2022-08-11 08:26:20
P148,CM673,EmailSecondary,2022-09-14 16:17:33
P149,CM149,EmailPrimary,2020-07-25 08:44:16
P149,CM168,PostalBilling,2024-04-08 15:12:57
P150,CM416,TelecomPrimary,2024-03-03 05:08:20
P150,CM753,TelecomPrimary,2024-01-10 18:10:52
